First, Last
Arthur, Pendragon
Culhwch
Lancelot, du Lac
Olwen
Asgore, Dreemur
Asriel, Dreemur
Toriel, Dreemur
Anaander, Mianaai
Breq
Strigan
Angela, Moss
Elliot, Alderson
Gideon, Goddard
Shayla, Nico
Tyrell, Wellick
Inigo, Montoya
Arthur, Dent
Ford, Prefect
Ash, Ketchum
Brock, Harrison
Dawn
May
Misty
Samuel, Oak
Darryl, Philbin
Dwight, Schrute
Erin, Hannon
Jim, Halpert
Michael, Scott
Pamela, Beesly
Robert, California
Donna, Paulsen
Harvey, Specter
Jessica, Pearson
Mike, Ross
Rachel, Zane
Ahsoka, Tano
Ben, Solo
Han, Solo
Kit, Fisto
Kylo, Ren
Lando, Calrissian
Luke, Skywalker
Plo, Koon
Poe, Dameron
Rey
Abed, Nadir
Annie, Edison
Britta, Perry
Craig, Pelton
Jeff, Winger
Shirley, Bennett
Troy, Barnes
Albus, Dumbledore
Harry, Potter
Hermoine, Granger
Luna, Lovegood
Minerva, McGonagall
Ron, Weasley
Severus, Snape
Ambrosius, Goldenloin
Ballister, Blackheart
Nimona
Greg, Lestrade
James, Moriarty
John, Watson
Molly, Hooper
Mycroft, Holmes
Sherlock, Holmes
Carrot, Ironfoundersson
Nanny, Ogg
Magrat, Garlick
Moist, von Lipwig
Samuel, Vimes
Rincewind
